,Year,VIN,LHD/RHD,Selling Dealer,Last Service,Miles,Country,Most Recent Servicing Dealer,Latitude and Longitude
,2012,WBSPK91050E810800,#00-LHD,"00885 BMW M GmbH, Garching b. München",11/22/2016,9053 mi,,"30749 Niederlassung München Karosserie- und Lackzentrum BMW AG, Garching","48.25064551676556, 11.626873414459826"
,2012,WBSPK91070E810801,#01-LHD,"33696 Autohaus J. B. Lell GmbH & Co. KG , Weiden",3/8/2012,2 mi,,"33696 Autohaus J. B. Lell GmbH & Co. KG , Weiden","49.68083510787251, 12.159478068312973"
,2012,WBSPK91090E810802,#02-LHD,"29307 Spaett GmbH & Co. KG , Ismaning",07/22/2025,66505 mi,,,
,2012,WBSPK91000E810803,#03-LHD,"07487 Riller & Schnauck GmbH , Teltow",04/07/2022,28928 mi,,"33291 Autohaus Moderegger GmbH , Bischofswiesen","47.61777495321724, 12.969491142730172"
,2012,WBSPK91020E810804,#04-LHD,"30915 Adolf Cuntz KG Autohaus, Neustadt a.d. Weinstraße",05/10/2023,47298 mi,,"30915 Adolf Cuntz KG Autohaus, Neustadt a.d. Weinstraße","49.339590987157244, 8.151572681453473"
,2012,WBSPK91040E810805,#05-LHD,"01806 Autohaus Graser GmbH , Pressath",01/30/2025,142 mi,,"01806 Autohaus Graser GmbH, Pressath","49.76434006296704, 11.92257145449412"
,2012,WBSPK91060E810806,#06-LHD,"23267 Autohaus Briem Nürtingen GmbH , Nürtingen",08/11/2025,3058 mi,,"04818 Autohaus Müller GmbH&Co. KG , Gerlingen","48.80511319535779, 9.075990367930357"
,2012,WBSPK91080E810807,#07-LHD,,10/21/2024,9173 mi,,"27966 Monserez Aalbeke, Kortrijk-Aalbeke","50.7656903474156, 3.221458566676113"
,2012,WBSPK910X0E810808,#09-LHD,,03/25/2019,4610 mi,,"30749 Niederlassung München Karosserie- und Lackzentrum BMW AG, Garching","48.25068838101704, 11.62686268562386"
,2012,WBSPK91010E810809,#10-LHD,"00885 BMW M GmbH, Garching b. München",03/25/2019,5912 mi,,"30749 Niederlassung München Karosserie- und Lackzentrum BMW AG, Garching","48.25068838101704, 11.62686268562386"
,2012,WBSPK91080E810810,#11-LHD,"01807 Niederlassung München Filiale Solln BMW AG, München",04/07/2017,7054 mi,,"34007 Automag GmbH , München","48.141094960010264, 11.524266142484432"
,2012,WBSPK910X0E810811,#12-LHD,"07850 Service Zentrum Regensburg BMW AG, Regensburg",06/15/2020,18423 mi,,"00051 Service Zentrum BMW AG, Dingolfing","48.64527010148868, 12.4837594716247"
,2012,WBSPK91010E810812,#13-LHD,"26252 Horimex cars s.r.o. - VM , Vysoke Myto",08/11/2025,89653 mi,,"20117 Renocar a.s., Brno , Brno-Slatina","49.17123570687468, 16.68502286636468"
,2012,WBSPK91030E810813,#14-LHD,"23309 Autohaus Kaltenbach GmbH & Co. KG , Remscheid",05/16/2023,26128 mi,,"03579 Bergwerff Automotive B.V. , Gorinchem","51.84365171122878, 4.9516842276338835"
,2012,WBSPK91050E810814,#15-LHD,"01066 AHAG Automobil-Handelsges. Egon Gladen GmbH & Co. KG , Gelsenkirchen",03/12/2019,8646 mi,,"22481 B&K Deutschland GmbH , Osnabrück","52.24795981633715, 8.035138060124886"
,2012,WBSPK91070E810815,#16-LHD,"36881 Faba Autowelt GmbH , Mönchengladbach",10/09/2019,45768 mi,,"36881 Faba Autowelt GmbH , Mönchengladbach","51.22264821946347, 6.482608868602393"
,2012,WBSPK91090E810816,#17-LHD,"30320 Procar Automobile GmbH , Herne",10/15/2025,4827 mi,,N/A,
,2012,WBSPK91000E810817,#18-LHD,"22010 Hermann Menton GmbH & Co KG , Tübingen",07/03/2024,2561 mi,,"00866 Autohaus Widmann + Winterholler GmbH , Dachau","48.26358438524061, 11.47411452557121"
,2012,WBSPK91020E810818,#19-LHD,"00085 Niederlassung Stuttgart BMW AG, Stuttgart",12/10/2024,3158 mi,,"28278 BMW Park Lane (Battersea), Battersea","51.50837054604836, -0.15370491479065826"
W73/A75,2012,WBSPK91040E810819,#20-LHD,"02803 ahg Autohandelsgesellschaft mbH , Schramberg-Sulgen",11/24/2022,5287 mi,,"35955 AMPLITUDE AUTOMOBILES BLOIS BLOIS , BLOIS CEDEX","47.61289430580408, 1.3308628445816597"
W73/A75,2012,WBSPK91000E810820,#21-LHD,"04508 Autohaus Revo GmbH , Albstadt",05/08/2017,345 mi,,"04508 Autohaus Revo GmbH , Albstadt","48.082210587212174, 9.201367167888941"
,2012,WBSPK91020E810821,#22-LHD,"30315 Ungeheuer Automobile GmbH , Karlsruhe",06/05/2020,13343 mi,,"02732 Autohaus Kainz GmbH&Co. KG Mayen , Kottenheim b. Mayen","50.33656254499534, 7.256393968019895"
,2012,WBSPK91040E810822,#23-LHD,"21584 Helming & Sohn GmbH , Nordhorn",03/13/2025,6519 mi,,"04746 Kohl automobile GmbH , Aachen","50.76528980534606, 6.148190796881329"
W73/A74,2012,WBSPK91060E810823 ,#24-LHD,Europe,06/30/2023,986 mi,U.S,"46778 Tom Bush BMWJacksonville , Jacksonville","30.323479731047733, -81.54280606862626"
W73/A75,2012,WBSPK91080E810824,#25-LHD,"05600 Monserez Kortrijk , Kortrijk",06/08/2021,23380 mi,,"05600 Monserez Kortrijk , Kortrijk","50.82965315456241, 3.248852633393059"
W73/A75,2012,WBSPK910X0E810825,#26-LHD,"22319 CH. POZZI , LEVALLOIS-PERRET",10/12/2015,17913 mi,,"27966 Monserez Aalbeke , Kortrijk-Aalbeke","50.765600610706144, 3.221541541326028"
,2012,WBSPK91010E810826,#27-LHD,"05718 Beliën nv Beliën Neerpelt, Neerpelt",10/10/2025,14829 mi,,"03578 Ekris Heerenveen, Heerenveen","52.967476628440565, 5.89989785283497"
,2012,WBSPK91030E810827,#29-LHD,"03892 Procar Automobile GmbH , Velbert",07/16/2019,8339 mi,,"03892 Procar Automobile GmbH , Velbert","51.34945688806456, 7.024789154588253"
,2012,WBSPK91050E810828,#31-LHD,"05735 Verstraeten , Lochristi",10/05/2020,9468 mi,,"05735 Bilia Verstraeten , Lochristi","51.08916989958226, 3.8107022238848773"
,2012,WBSPK91070E810829,#32-LHD,,03/28/2025,6105 mi,,N/A,
,2012,WBSPK91030E810830,#33-LHD,,09/01/2023,19867 mi,,N/A,
,2012,WBSPK91050E810831,#34-LHD,"05600 Monserez Kortrijk , Kortrijk",09/18/2025,5495 mi,,"05605 Meerschman Aalst, Aalst","50.91540391712409, 4.034451164120864"
,2012,WBSPK91070E810832,#35-LHD,"04107 Niederlassung München BMW AG, München",08/23/2024,11571 mi,,"04107 Niederlassung München , München","48.188413553130125, 11.574449787164768"
,2012,WBSPK91090E810833,#36-LHD,"32940 Auto Fus Group Sp. J. , Warszawa",10/29/2025,38007 mi,,"28965 Inchcape Motor Polska Sp.zo.o. , Warszawa","52.236368925560576, 20.95658613006114"
,2012,WBSPK91000E810834,#37-LHD,"07983 Autoleth A/S , Haderslev",05/12/2025,103 mi,,"07983 Autoleth A/S, Haderslev","55.26681389089409, 9.49493399715883"
,2012,WBSPK91020E810835,#38-LHD,"24812 Förenade Bil AB, Malmö",09/11/2025,10835 mi,,N/A,
,2012,WBSPK91040E810836,#39-LHD,"27166 Carlo Schmitz sarl Schmitz , Mersch",07/01/2020,4601 mi,,"OSS-40000564 Kevin Bird Garages Ltd, Iver","51.5140548238907, -0.5041926435500805"
,2012,WBSPK91060E810837,#40-LHD,"31564 Renocar a.s., Praha , Cestlice",09/11/2025,32688 mi,,"31564 Renocar a.s., Praha , Podoli","50.06124534800787, 14.42806468149578"
,2012,WBSPK91080E810838,#41-LHD,"00557 Nefzger GmbH & Co. KG , Berlin",10/22/2019,6 mi,,N/A,
,2012,WBSPK910X0E810839,#42-LHD,"05711 Dejonckheere nv Dejonckheere, Roeselare",05/14/2020,4001 mi,,"05711 Dejonckheere nv Dejonckheere, Roeselare","50.94652283777439, 3.0975571999612255"
,2012,WBSPK91060E810840,#43-LHD,"07057 Hedin Automotive Schweiz AG Betrieb Wohlen , Wohlen",06/17/2024,6898 mi,,"21242 zbinden ag hägendorf , Hägendorf","47.3351544470991, 7.849185839010668"
,2012,WBSPK91080E810841,#44-LHD,"00224 Autohaus Timmermanns GmbH , Düsseldorf",04/04/2025,13612 mi,,"36881 Faba Autowelt GmbH , Mönchengladbach","51.222715413652146, 6.482501580242721"
,2012,WBSPK910X0E810842,#45-LHD,"05605 Meerschman Aalst , Aalst",06/09/2015,831 mi,,"05605 Meerschman Aalst , Aalst","50.91540391712409, 4.034451164120864"
,2012,WBSPK91010E810843,#46-LHD,"29307 Spaett GmbH & Co. KG , Ismaning",06/11/2014,10471 mi,,"29307 Spaett GmbH & Co. KG , Ismaning","48.23254314952236, 11.686276912077332"
,2012,WBSPK91030E810844,#47-LHD,,09/23/2016,1328 mi,,"44131 Bilia Group Göteborg AB , Strömstad",
,2012,WBSPK91050E810845,#48-LHD,"07056 Morandi Group AG , Kreuzlingen",04/13/2022,10520 mi,,"31366 Sepp Fässler (Wil) AG , Wil","47.452260369075866, 9.053192696689226"
,2012,WBSPK91070E810846,#49-LHD,NO Service Records,N/A,,,N/A,
,2012,WBSPK91090E810847,#50-LHD,"07029 Sepp Fässler AG , Appenzell",07/24/2023,10536 mi,,"07029 Sepp Fässler AG , Appenzell","47.33438749156511, 9.404184222181954"
W73/A75,2012,WBSPK91000E810848,#51-LHD,"07022 Cencini SA , Lugano Pregassona",08/17/2021,31494 mi,,"40419 STORE MONACO MONACO (SERVICE) , MONACO","43.73046087735032, 7.4149332157184675"
,2012,WBSPK91020E810849,#52-LHD,"07057 Hedin Automotive Schweiz AG Betrieb Wohlen , Wohlen",10/03/2022,6203 mi,,"31366 Sepp Fässler (Wil) AG , Wil","47.452260369075866, 9.05318196785326"
,2012,WBSPK9105BE810850,#53-LHD,"20278 Al Fardan Automobiles L.L.C. Showroom and Service , Doha",09/29/2025,2971 mi,,"20278 Alfardan Automobiles Co. (Al Sadd) Al Sadd Showroom , Doha","25.283997721438357, 51.50642948490113"
,2012,WBSPK91000E810851,#54-LHD,"0631 Bickel Auto AG , Frauenfeld",03/06/2023,7026 mi,,"30631 Bickel Auto AG , Frauenfeld","47.55294847306641, 8.86985361389054"
,2012,WBSPK9109BE810852,#55-LHD,"26282 Abu Dhabi Motors Sanaiya Showroom & Service, Al Ain",05/14/2019,2193 mi,,"26282 Abu Dhabi Motors LLC Sanaiya Showroom&Service , Al Ain","24.198828900063535, 55.760876082189256"
,2012,WBSPK91040E810853,#56-LHD,"07029 Sepp Fässler AG , Appenzell",07/09/2021,13170 mi,,"07029 Sepp Fässler AG , Appenzell","47.33438749156511, 9.404184222181954"
,2012,WBSPK9100CE810854,#57-LHD,"10307 Williamson Balfour Motors S.A., Santiago de Chile",07/13/2017,2766 mi,,"10307 Williamson Balfour Motors SpA La Dehesa , Santiago de Chile","-33.363277741155024, -70.5137020442092"
,2012,WBSPK9102CE810855,#59-LHD,,08/07/2019,5394 mi,U.S,"26747 Momentum BMW/Momentum MINI , Houston","29.677525767682212, -95.54362526339852"
,2012,WBSPK910X0E810856,#60-LHD,"04107 Niederlassung München BMW AG, München",04/07/2025,16528 mi,,"04107 Niederlassung München , München","48.18856151929043, 11.574434083378245"
W73/A73,2012,WBSPK9108BE810857,#61-LHD,"01860 Abu Dhabi Motors LLC Showroom and Service , Abu Dhabi",07/05/2022,2678 mi,U.S,"36721 Crevier BMW , Santa Ana","33.72802011728598, -117.83780458863922"
,2012,WBSPK91030E810858,#62-LHD,No Service Record,N/A,,,N/A,
,2012,WBSPK91050E810859,#63-LHD,"33379 Fett & Wirtz Automobile GmbH & Co. KG , Geldern",08/29/2019,7280 mi,,"33379 Fett & Wirtz Automobile GmbH & Co. KG , Geldern","51.52117833210166, 6.2903171267964995"
,2012,WBSPK91010E810860,#64-LHD,"04107 Niederlassung München BMW AG, München",04/25/2025,15635 mi,,"29307 Spaett GmbH & Co. KG , Ismaning","48.23254314952236, 11.686276912077332"
,2012,WBSPK91030E810861,#65-LHD,"23470 Spaett GmbH & Co. KG , Freising",12/05/2025,7822 mi,,"08649 Vines of Guildford, Guildford","51.26143664715621, -0.5659983589091498"
,2012,WBSPK91050E810862,#66-LHD,"21972 BMW Park Lane, London",01/24/2025,40309 mi,,"05549 FOCH AUTOMOBILES AVIGNON , AVIGNON","43.91858422995987, 4.8756993811525255"
,2012,,,,,,,,
,2012,WBSPK92050E855900,#08-RHD,"34867 Teban Gardens, Singapore",01/06/2026,34367 mi,,"51570 Eurokars Auto Pte Ltd, Singapore","1.2897638085007026, 103.81178582394233"
,2012,WBSPK92070E855901,#28-RHD,"34867 Teban Gardens, Singapore",10/21/2025,5750 mi,,"08657 Dick Lovett Swindon, Swindon","51.55438397727387, -1.807882521189021"
,2012,WBSPK92090E855902,#30-RHD,"00074 Niederlassung Frankfurt BMW AG, Frankfurt am Main",08/02/2024,2835 mi,,"18913 Col Crawford Motors , Brookvale","-33.76451672987684, 151.27033766861297"
,2012,WBSPK92000E855903,#58-RHD,"22143 BMW Concessionaires (HK) Ltd. CW BMW Chai Wan Service Centre , Hong Kong Island",08/28/2025,13135 mi,,"22144 BMW Concessionaires (HK) Ltd. ST BMW Shatin Service Centre , New Territories","22.390632699175633, 114.20865803981077"
,2012,WBSPK92020E855904,#67-RHD,"34867 Munich Auto Teban Gardens, Singapore",07/31/2023,23962 mi,,"51570 Eurokars Auto Pte Ltd , Singapore","1.2897638085007026, 103.81178582394233"